,STATISTICAL_MURDER_FLAG,BORO,PERP_SEX,PERP_AGE_GROUP,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,Hour,Month,Year
4,1,1,0.0,2.0,1.0,3.0,0.0,1.0,22,2,2009
16,1,3,0.0,2.0,1.0,2.0,0.0,1.0,2,7,2010
20,1,3,0.0,1.0,1.0,1.0,1.0,1.0,23,2,2015
29,1,0,0.0,2.0,3.0,2.0,0.0,3.0,4,3,2013
30,1,3,0.0,1.0,1.0,1.0,0.0,1.0,21,1,2006
39,1,2,0.0,2.0,1.0,1.0,0.0,1.0,14,10,2021
58,1,0,0.0,2.0,4.0,2.0,0.0,1.0,2,9,2006
60,1,1,0.0,0.0,3.0,1.0,0.0,2.0,0,5,2006
67,1,2,0.0,1.0,1.0,2.0,1.0,1.0,22,11,2017
73,1,2,0.0,2.0,1.0,2.0,0.0,1.0,21,8,2019
80,1,2,0.0,1.0,1.0,1.0,0.0,1.0,0,5,2007
84,1,1,0.0,2.0,1.0,2.0,0.0,1.0,11,5,2018
91,1,1,0.0,2.0,1.0,1.0,0.0,2.0,3,8,2008
98,1,2,0.0,2.0,1.0,2.0,0.0,1.0,17,7,2020
107,1,0,0.0,2.0,1.0,2.0,1.0,1.0,14,2,2006
125,1,1,0.0,0.0,3.0,0.0,0.0,1.0,22,12,2015
136,1,1,0.0,3.0,1.0,2.0,0.0,1.0,19,9,2017
141,1,0,0.0,2.0,1.0,2.0,0.0,1.0,22,6,2021
142,1,1,0.0,2.0,0.0,2.0,0.0,0.0,20,1,2006
158,1,1,0.0,1.0,1.0,1.0,0.0,1.0,22,9,2006
163,1,0,0.0,2.0,1.0,1.0,0.0,1.0,3,5,2012
175,1,2,0.0,2.0,1.0,2.0,0.0,3.0,0,12,2021
183,1,2,0.0,0.0,1.0,0.0,0.0,1.0,0,8,2012
191,1,2,0.0,2.0,1.0,2.0,0.0,1.0,23,5,2021
195,1,1,0.0,1.0,2.0,0.0,0.0,1.0,2,11,2008
196,1,3,0.0,1.0,1.0,1.0,0.0,1.0,18,2,2009
198,1,2,0.0,2.0,1.0,2.0,0.0,1.0,22,7,2009
205,1,0,0.0,1.0,1.0,2.0,0.0,1.0,1,2,2012
208,1,2,0.0,2.0,1.0,1.0,0.0,1.0,23,11,2010
215,1,1,0.0,2.0,2.0,2.0,0.0,2.0,5,6,2021
222,1,2,0.0,2.0,1.0,1.0,0.0,1.0,23,7,2017
232,1,2,0.0,0.0,1.0,0.0,0.0,1.0,22,8,2006
248,1,1,0.0,1.0,2.0,2.0,0.0,2.0,1,4,2007
255,1,3,0.0,2.0,1.0,1.0,0.0,2.0,10,12,2011
256,1,1,0.0,1.0,2.0,2.0,0.0,3.0,4,9,2010
257,1,1,0.0,1.0,1.0,2.0,0.0,3.0,21,8,2011
260,1,2,0.0,2.0,1.0,2.0,0.0,1.0,22,10,2012
262,1,0,0.0,2.0,2.0,2.0,0.0,2.0,3,4,2016
266,1,1,0.0,1.0,1.0,2.0,0.0,1.0,0,6,2018
288,1,0,0.0,2.0,1.0,1.0,0.0,2.0,22,8,2019
289,1,3,0.0,0.0,1.0,2.0,0.0,1.0,0,5,2007
290,1,3,0.0,2.0,1.0,2.0,0.0,1.0,3,1,2020
292,1,2,0.0,1.0,1.0,2.0,0.0,1.0,15,8,2011
298,1,0,0.0,3.0,1.0,2.0,0.0,1.0,18,4,2006
305,1,1,0.0,1.0,1.0,0.0,1.0,1.0,1,5,2010
313,1,0,0.0,0.0,4.0,2.0,0.0,1.0,17,12,2014
317,1,4,0.0,1.0,1.0,1.0,0.0,1.0,6,11,2012
320,1,0,0.0,4.0,1.0,3.0,1.0,1.0,12,7,2010
338,1,1,0.0,2.0,1.0,0.0,0.0,2.0,21,4,2006
342,1,0,0.0,1.0,1.0,2.0,0.0,4.0,14,3,2015
344,1,1,0.0,2.0,2.0,1.0,0.0,1.0,4,12,2006
351,1,0,0.0,3.0,1.0,2.0,0.0,1.0,13,10,2021
367,1,0,0.0,1.0,1.0,1.0,0.0,1.0,1,1,2021
376,1,3,0.0,1.0,3.0,2.0,0.0,3.0,23,11,2008
380,1,0,0.0,2.0,1.0,0.0,1.0,1.0,5,1,2015
381,1,2,0.0,3.0,2.0,1.0,0.0,3.0,11,11,2010
388,1,2,0.0,2.0,1.0,2.0,0.0,1.0,15,5,2020
392,1,1,0.0,0.0,1.0,0.0,0.0,1.0,23,1,2021
399,1,3,0.0,1.0,1.0,1.0,0.0,1.0,16,11,2017
402,1,0,0.0,1.0,1.0,0.0,0.0,1.0,23,6,2010
404,1,3,0.0,2.0,2.0,2.0,0.0,2.0,21,11,2006
409,1,2,0.0,2.0,1.0,2.0,0.0,1.0,8,4,2020
414,1,2,0.0,2.0,1.0,3.0,0.0,1.0,19,6,2006
416,1,1,0.0,1.0,1.0,0.0,0.0,1.0,3,8,2006
425,1,1,0.0,2.0,2.0,2.0,0.0,2.0,4,2,2010
428,1,2,0.0,2.0,1.0,2.0,0.0,1.0,7,10,2012
434,1,1,0.0,1.0,1.0,1.0,0.0,1.0,22,8,2021
441,1,2,0.0,1.0,1.0,3.0,0.0,1.0,23,5,2018
460,1,2,0.0,2.0,1.0,1.0,0.0,1.0,23,8,2013
471,1,1,0.0,1.0,2.0,2.0,0.0,2.0,18,5,2013
472,1,0,0.0,1.0,1.0,1.0,0.0,1.0,2,8,2013
474,1,2,0.0,1.0,1.0,2.0,0.0,2.0,1,11,2007
477,1,2,0.0,2.0,3.0,1.0,0.0,2.0,1,9,2016
478,1,2,0.0,0.0,1.0,2.0,0.0,1.0,9,9,2016
486,1,1,0.0,2.0,1.0,2.0,0.0,1.0,0,8,2009
491,1,1,0.0,1.0,3.0,1.0,0.0,3.0,3,11,2010
502,1,1,0.0,2.0,1.0,0.0,0.0,2.0,7,10,2006
503,1,3,0.0,2.0,1.0,2.0,1.0,0.0,4,10,2015
506,1,0,0.0,2.0,3.0,2.0,0.0,3.0,17,2,2012
507,1,1,0.0,2.0,1.0,1.0,0.0,1.0,16,8,2021
517,1,2,0.0,2.0,1.0,1.0,0.0,2.0,0,12,2017
532,1,2,0.0,2.0,1.0,2.0,1.0,1.0,20,4,2015
536,1,3,0.0,2.0,1.0,2.0,1.0,3.0,22,1,2015
555,1,1,0.0,2.0,2.0,1.0,0.0,1.0,19,2,2021
557,1,1,0.0,0.0,1.0,1.0,0.0,1.0,16,11,2011
563,1,2,0.0,2.0,1.0,1.0,0.0,1.0,4,12,2008
564,1,0,0.0,1.0,1.0,1.0,1.0,1.0,7,12,2007
572,1,3,0.0,1.0,1.0,1.0,0.0,1.0,18,6,2021
579,1,2,0.0,1.0,1.0,2.0,0.0,1.0,20,7,2007
583,1,3,0.0,1.0,1.0,3.0,1.0,0.0,13,5,2006
601,1,0,0.0,1.0,2.0,1.0,0.0,2.0,1,3,2015
640,1,0,0.0,2.0,1.0,2.0,0.0,1.0,16,12,2011
650,1,1,0.0,1.0,1.0,0.0,0.0,1.0,23,6,2020
